stafkey,susrpw,susrsec,susrtyp,ssalut,snamef,snamemi,snamel,slogid,stitle,sorg,sdept,saddrnum,saddrst1,saddrst2,saddrcty,saddrstt,saddrcnty,saddrzip,stelw,stelwex,stelfax,stelh,staduser,stadtime,stmduser,stmdtime,stc1,stc2,stc3,stc4,snotes,sorc1,sorc2,sorc3,sorc4,sactive,ssys,sspare1,sspare2,sspare3,smemgrp,sfoiasec,srptsec,sattyid,svlj,sinvsec,sdomainid
BHAGENES,,,,,Bianka,N,Hagenes,BHAGENES,MHALEY,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,800,,,
MTROMP,,,,,Myron,T,Tromp,MTROMP,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
JSKILES,,,,,Janick,L,Skiles,JSKILES,CRUSSEL,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,798,,,
SRYAN,,,,,Sherman,M,Ryan,SRYAN,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,799,,,
ASWIFT1,,,,,Amely,Z,Swift,ASWIFT1,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
GJOHNSTON,,,,,Granville,O,Johnston,GJOHNSTON,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
KSTARK,,,,,Kelli,P,Stark,KSTARK,DAV,,DAV,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,BVAKSTARK
KKERTZMAN,,,,,Katheryn,V,Kertzmann,KKERTZMAN,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAKKERTZMAN
LLANGOSH,,,,,Llewellyn,Y,Langosh,LLANGOSH,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
ESCHMITT,,,,,Ezequiel,P,Schmitt,ESCHMITT,MPAUCEK,,AIRS,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,849,,,
JVEUM,,,,,Jasmin,B,Veum,JVEUM,01C2,,CDLEGCLK,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
CHUDSON1,,,,,Collin,N,Hudson,CHUDSON1,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
AHERMANN,,,,,Adrien,C,Hermann,AHERMANN,AHUDSON,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,807,,,
EBEATTY,,,,,Emmanuelle,C,Beatty,EBEATTY,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,804,A,,
DSENGER,,,,,Dale,Z,Senger,DSENGER,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,805,,,805,J,,BVADSENGER
YBREITENB,,,,,Yolanda,H,Breitenberg,YBREITENB,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,448,,,808,,,
MWISOZK,,,,,Melissa,T,Wisozk,MWISOZK,INTERN,,HRG,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
MKRIS1,,,,,Melyna,X,Kris,MKRIS1,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,805,,,806,,,BVAMKRIS1
SHIRTHE,,,,,Larissa,J,Howell,SHIRTHE,MPAUCEK,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,801,A,,BVALHOWELL
ADONNELLY,,,,,Asha,R,Donnelly,ADONNELLY,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,679,,,802,A,,BVAADONNELLY
JVON,,,,,John,R,Von,JVON,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,805,,,1114,,,BVAJVON
LBERNHARD1,,,,,Laurence,P,Bernhard,LBERNHARD1,AHUDSON,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1115,,,
LRUNOLFSD1,,,,,Lavina,U,Runolfsdottir,LRUNOLFSD1,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,374,,,1116,,,BVALRUNOLFSD1
EUPTON,,,,,Estella,Y,Upton,EUPTON,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,374,,,1117,,,BVAEUPTON
MO'KON,,,ROADMIN,,Maribel,C,O'Kon,MO'KON,SUP,,DSP,,,,,,,,,,(741) 499-1227 x05527,,,,SBARTELL,2012-09-28 00:00:00 UTC,,,,,,,,,,A,,,,,,,,,A,,BVAMO'KON
RKUNZE,,,,,Ryley,Z,Kunze,RKUNZE,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
JFEENEY1,,,,,Jimmy,M,Jones,JFEENEY1,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
DRODRIGUE,,,,,Danielle,E,Rodriguez,DRODRIGUE,SBODE,04-539,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-04-22 13:22:39 UTC,WLANGOSH,1996-11-21 09:07:00 UTC,0,0,0,0,,,,,,A,,,,,386,,,539,,,BVADRODRIGUE
MDURGAN,,,,,Magdalen,A,Durgan,MDURGAN,AHUDSON,04-540,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-04-22 13:23:36 UTC,WLANGOSH,1996-04-22 13:25:22 UTC,0,0,0,0,,,,,,I,,,,,,,,540,,,
TROMAGUER,,,,,Tanya,D,Romaguera,TROMAGUER,SBODE,04-541,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-05-02 08:05:27 UTC,WLANGOSH,1996-05-02 08:06:38 UTC,0,0,0,0,,,,,,A,,,,,374,,,541,J,,BVATROMAGUER
QKOEPP,,,,,Quinton,R,Koepp,QKOEPP,SBODE,16-542,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-05-02 09:18:15 UTC,WLANGOSH,1996-05-02 09:18:39 UTC,0,0,0,0,,,,,,A,,,,,365,,,542,A,,BVAQKOEPP
HJASKOLSK,,,,,Hettie,N,Jaskolski,HJASKOLSK,SBODE,13-543,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-05-17 08:14:50 UTC,SBARTELL,1998-01-08 09:56:52 UTC,0,0,0,0,,,,,,I,,,,,556,,,543,,,
DWUNSCH1,,,,,Davon,D,Wunsch,DWUNSCH1,SBODE,13-544,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-05-17 08:16:33 UTC,WLANGOSH,1997-08-19 13:01:40 UTC,0,0,0,0,,,,,,I,,,,,,,,544,A,,
ARAU,,,,,Antone,P,Rau,ARAU,SBODE,04-545,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-05-17 08:17:48 UTC,SBARTELL,1996-11-06 09:18:21 UTC,0,0,0,0,,,,,,I,,,,,,,,545,J,,
HLOWE,,,,,Hertha,C,Lowe,HLOWE,SBODE,20-547,BDCOUNSEL,,,,,,,,,,,,SBARTELL,1996-06-07 10:05:02 UTC,WLANGOSH,1998-04-15 11:33:00 UTC,0,0,0,0,,,,,,I,,,,,,,,547,,,
AWISOKY,,,,,Allen,P,Wisoky,AWISOKY,SBODE,06-546,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-06-07 14:09:41 UTC,WLANGOSH,1996-06-07 14:10:20 UTC,0,0,0,0,,,,,,I,,,,,,,,546,A,,
AKLING,,,,,Abdiel,Y,Kling,AKLING,AHUDSON,04-548,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-06-11 09:58:36 UTC,WLANGOSH,1996-06-11 10:06:12 UTC,0,0,0,0,,,,,,I,,,,,,,,548,,,
RWELCH,,,,,Ricky,V,Welch,RWELCH,AHUDSON,04-549,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-06-11 10:04:04 UTC,WLANGOSH,1998-04-15 11:38:34 UTC,0,0,0,0,,,,,,I,,,,,,,,549,,,
CLITTEL,,,,,Celestine,T,Littel,CLITTEL,SBODE,04-550,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-06-11 10:05:32 UTC,WLANGOSH,1996-06-11 10:06:40 UTC,0,0,0,0,,,,,,A,,,,,511,,,550,J,,BVACLITTEL
MROGAHN2,,,,,Marcos,T,Rogahn,MROGAHN2,AHUDSON,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,735,,,
MSTANTON,,,,,Manuela,V,Stanton,MSTANTON,HRG,,CDLEGCLK,,,,,,,,,,700.991.8249,,,,,,,,,,,,,,,I,,,,,,,,,,,
HBOYLE,,,,,Haylee,O,Boyle,HBOYLE,A3-116,68-116,ADDMOD,,,,,,,,,,(916) 271-1346 x56056,,WLANGOSH,1996-07-02 11:02:47 UTC,WLANGOSH,1997-04-10 15:20:46 UTC,0,0,13,23,,,,,,I,,,,,,,,,,,
CMITCHELL,,,,,Cale,I,Mitchell,CMITCHELL,CRUSSEL,06-551,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-07-02 11:56:02 UTC,WLANGOSH,1996-08-15 14:04:26 UTC,0,0,0,0,,,,,,I,,,,,,,,551,A,,
LHERMANN,,,,,Lucile,D,Hermann,LHERMANN,MHALEY,06-552,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-07-11 15:36:13 UTC,WLANGOSH,1996-07-11 15:37:04 UTC,0,0,0,0,,,,,,I,,,,,,,,552,,,
NDOYLE,,,,,Nyasia,W,Doyle,NDOYLE,MPAUCEK,13-553,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-07-11 15:38:05 UTC,SBARTELL,1998-01-13 13:23:51 UTC,0,0,0,0,,,,,,I,,,,,,,,553,A,,
OBARROWS,,,,,Otho,Z,Barrows,OBARROWS,MHALEY,06-554,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-07-11 15:40:21 UTC,WLANGOSH,1996-07-11 15:42:15 UTC,0,0,0,0,,,,,,I,,,,,,,,554,,,
PPOWLOWSK,,,,,Phyllis,C,Powlowski,PPOWLOWSK,CRUSSEL,16-555,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-07-12 08:05:36 UTC,WLANGOSH,1996-07-12 08:06:03 UTC,0,0,0,0,,,,,,I,,,,,,,,555,,,
SHIRTHE,,,,,Stephan,W,Hirthe,SHIRTHE,SBODE,06-556,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-07-24 11:04:35 UTC,WLANGOSH,1996-07-24 11:05:07 UTC,0,0,0,0,,,,,,A,,,,,556,,,556,J,,BVASHIRTHE
KHALVORSO,,,,,Kelsie,K,Halvorson,KHALVORSO,CRUSSEL,06-557,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-07-24 11:06:19 UTC,WLANGOSH,1997-12-02 15:26:28 UTC,0,0,0,0,,,,,,I,,,,,,,,557,,,
SHILLS,,,,,Shanna,A,Hills,SHILLS,CRUSSEL,16-558,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-07-24 11:08:51 UTC,WLANGOSH,1997-04-17 13:58:57 UTC,0,0,0,0,,,,,,I,,,,,,,,558,,,
LLITTLE,,,,,Leon,J,Little,LLITTLE,SBODE,13-559,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-07-24 11:11:43 UTC,SBARTELL,1998-01-13 15:28:36 UTC,0,0,0,0,,,,,,A,,,,,386,,,559,J,,BVALLITTLE
ARUNOLFSD,,,,,Aylin,J,Runolfsdottir,ARUNOLFSD,SBODE,04-561,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-08-09 10:53:45 UTC,WLANGOSH,1996-08-09 10:54:07 UTC,0,0,0,0,,,,,,A,,,,,616,,,561,J,,BVAARUNOLFSD
HKREIGER,,,,,Hermina,W,Kreiger,HKREIGER,SBODE,16-560,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-08-09 10:55:02 UTC,WLANGOSH,1996-08-15 13:48:20 UTC,0,0,0,0,,,,,,A,,,,,370,,,560,A,,BVAHKREIGER
RBERGNAUM1,,,,,Rachelle,L,Bergnaum,RBERGNAUM1,HRG,,CDLEGCLK,,,,,,,,,,(512) 060-2380 x08920,,,,,,,,,,,,,,,I,,,,,,,,,,,
AWUCKERT,,,,,Anahi,Y,Wuckert,AWUCKERT,AHUDSON,04-562,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-08-22 09:30:52 UTC,WLANGOSH,1996-08-22 09:31:22 UTC,0,0,0,0,,,,,,I,,,,,,,,562,,,
CHAUCK,,,,,Carole,T,Hauck,CHAUCK,DV-DIR,04-563,AMC,,,,,,,,,,,,WLANGOSH,1996-08-22 09:32:08 UTC,WLANGOSH,1996-08-22 09:32:55 UTC,0,0,0,0,,,,,,I,,,,,,,,,,,
ASKILES,,,,,Albertha,E,Skiles,ASKILES,SBODE,01-564,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-09-05 15:42:34 UTC,WLANGOSH,1996-11-05 10:07:02 UTC,0,0,0,0,,,,,,I,,,,,,,,564,,,
HMURRAY,,,,,Harmony,O,Murray,HMURRAY,MPAUCEK,16-565,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-09-05 15:44:58 UTC,WLANGOSH,1996-09-05 15:45:24 UTC,0,0,0,0,,,,,,I,,,,,,,,565,A,,
CLAKIN,,,,,Candida,Q,Lakin,CLAKIN,SBODE,04-571,BDCOUNSEL,,,,,,,,,,,,WLANGOSH,1996-10-17 15:47:58 UTC,WLANGOSH,1996-10-17 15:48:17 UTC,0,0,0,0,,,,,,A,,,,,556,,,571,J,,BVACLAKIN
KWHITE1,,,,,Katrine,S,White,KWHITE1,64-77,64-77,CDLEGCLK,,,,,,,,,7406,,,ABERGSTRO,1994-05-18 14:13:24 UTC,WLANGOSH,1996-01-22 15:41:38 UTC,35,78,98,0,,,,,,I,,,,,,,,,,,
LDONNELLY,,,,,Lindsey,T,Donnelly,LDONNELLY,VFW,,VFW,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
SDAUGHERT,,,,,Shaylee,Q,Daugherty,SDAUGHERT,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
CLINDGREN,,,,,Christopher,P,Lindgren,CLINDGREN,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
CBEAHAN1,,,,,Charley,W,Beahan,CBEAHAN1,AML,,AML,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
ASPINKA1,,,,,Kristofer,X,Jones,ASPINKA1,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
OTORP,,,,,Orion,Z,Torp,OTORP,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
XGUTKOWSK,,,,,Xander,B,Gutkowski,XGUTKOWSK,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
VCRONA1,,,,,Vance,V,Crona,VCRONA1,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
LBERGNAUM1,,,,,Laisha,M,Bergnaum,LBERGNAUM1,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVALBERGNAUM1
JWALKER1,,,,,Jordon,U,Walker,JWALKER1,AML,,AML,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
BCORKERY,,,,,Bernadine,V,Corkery,BCORKERY,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
LPACOCHA,,,,,Loraine,K,Pacocha,LPACOCHA,01-CHR,,CHAIR,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVALPACOCHA
JPROSACCO,,,,,Jeffry,I,Prosacco,JPROSACCO,SUP,,DSP,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAJPROSACCO
BKAUTZER,,,,,Berneice,K,Kautzer,BKAUTZER,SSENGER,,DSP,,,,,,,,,,1-748-410-3365,,,,,,,,,,,,,,,I,,,,,,,,,,,
RMULLER,,,,,Rogelio,L,Muller,RMULLER,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
GCORWIN,,,,,Gina,D,Corwin,GCORWIN,OPR,,MPS,,,,,,,,,,671.239.5627,,,,,,,,,,,,,,,I,,,,,,,,,,,
BRYAN,,,,,Bernita,F,Ryan,BRYAN,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
TLARSON,,,,,Troy,E,Larson,TLARSON,AML,,AML,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
RMCCLURE,,,,,Roxane,E,McClure,RMCCLURE,AML,,AML,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
ROKUNEVA,,,,,Rylan,V,Okuneva,ROKUNEVA,AML,,AML,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
JAUER,,,,,Janick,T,Auer,JAUER,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
LMURRAY,,,,,Lenore,Q,Murray,LMURRAY,SSENGER,,DSP,,,,,,,,,,(220) 606-8659 x887,,,,,,,,,,,,,,,I,,,,,,,,,,,
AZEMLAK,,,,,Aylin,R,Zemlak,AZEMLAK,OPR,,REV,,,,,,,,,,(823) 567-8356 x19392,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAAZEMLAK
HREINGER1,,,,,Harmony,Z,Reinger,HREINGER1,SSENGER,,DSP,,,,,,,,,,476.570.8907,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAHREINGER1
AMCCULLOU,,,,,Alejandrin,A,McCullough,AMCCULLOU,OPR,,MPS,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
NMCDERMOT,,,,,Nakia,Q,McDermott,NMCDERMOT,SSENGER,,DSP,,,,,,,,,,1-806-464-7098 x6857,,,,,,,,,,,,,,,A,,,,,,,,,,,BVANMCDERMOT
GMCKENZIE,,,,,Gregg,F,McKenzie,GMCKENZIE,PVA,,PVA,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,BVAGMCKENZIE
CWOLFF,,,ROADMIN,,Corrine,A,Wolff,CWOLFF,SUP,,HRG,,,,,,,,,,,,,,SBARTELL,2012-09-28 00:00:00 UTC,,,,,,,,,,I,,,,,,,,,A,,
EWISOZK,,,,,Ewell,M,Wisozk,EWISOZK,VVA,,VVA,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
ASCHROEDE,,,,,Ariel,Y,Schroeder,ASCHROEDE,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
GSAUER,,,,,Gladys,Z,Sauer,GSAUER,VFW,,VFW,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,
EMANN,,,,,Ebony,G,Mann,EMANN,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
AHANE,,,,,Aliya,K,Hane,AHANE,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
AFEEST1,,,,,Antwon,T,Feest,AFEEST1,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAAFEEST1
HJOHNS2,,,,,Hyman,W,Johns,HJOHNS2,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
AO'HARA,,,,,Adella,L,O'Hara,AO'HARA,MPAUCEK,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,556,,,1212,J,,BVAAO'HARA
JBARTELL1,,,,,Joanne,D,Bartell,JBARTELL1,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAJBARTELL1
LBRUEN,,,,,Lonzo,R,Bruen,LBRUEN,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
LSCHILLER,,,,,Lavern,F,Schiller,LSCHILLER,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
AWISOKY1,,,,,Alisha,J,Wisoky,AWISOKY1,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
ICUMMERAT,,,,,Isac,T,Cummerata,ICUMMERAT,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
OHERMANN,,,,,Odie,B,Hermann,OHERMANN,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
JHUDSON1,,,,,Javonte,R,Hudson,JHUDSON1,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
RROHAN,,,,,Reymundo,C,Rohan,RROHAN,DAV,,DAV,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,BVARROHAN
ATOY,,,,,Anthony,T,Toy,ATOY,SUP,,DSP,,,,,,,,,,(438) 033-6377,,,,,,,,,,,,,,,I,,,,,,,,,,,
MLITTEL,,,,,Mae,C,Littel,MLITTEL,VFW,,VFW,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,BVAMLITTEL
LCARTWRIG,,,,,Lelia,Q,Cartwright,LCARTWRIG,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
DHAYES1,,,,,Dustin,B,Hayes,DHAYES1,MIS,,MIS,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,A,,
APADBERG1,,,,,Asa,A,Padberg,APADBERG1,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAAPADBERG1
ZPOUROS,,,,,Zetta,O,Pouros,ZPOUROS,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
JSENGER,,,,,Jolie,Q,Senger,JSENGER,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
KSTANTON1,,,,,Kaleb,I,Stanton,KSTANTON1,SUP,,HRG,,,,,,,,,,1-625-102-3040,,,,,,,,,,,,,,,I,,,,,,,,,,,
EBEDNAR,,,,,Elmo,H,Bednar,EBEDNAR,OPR,,MPS,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
MHAAG1,,,,,Maida,L,Haag,MHAAG1,OPR,,MPS,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAMHAAG1
BABERNATH,,,,,Brenda,Z,Abernathy,BABERNATH,OPR,,REV,,,,,,,,,,1-596-883-2220 x958,,,,,,,,,,,,,,,I,,,,,,,,,,,
AHELLER,,,,,Amparo,N,Heller,AHELLER,MHALEY,21-002,BDCOUNSEL,,,,,,,,,1417,,,ABERGSTRO,1994-05-27 13:42:07 UTC,WLANGOSH,1997-07-31 11:50:06 UTC,,,,,,,,,,I,,,,,,,,002,J,,
BCRUICKSH,,,,,Brando,P,Cruickshank,BCRUICKSH,SBODE,07-005,BDCOUNSEL,,,,,,,,,9917,,,ABERGSTRO,1994-05-27 13:49:43 UTC,WLANGOSH,1998-01-20 14:17:15 UTC,,,,,,,,,,I,,,,,,,,005,J,,
SHUELS1,,,,,Stacey,G,Huels,SHUELS1,SBODE,16-008,BDCOUNSEL,,,,,,,,,8203,,,ABERGSTRO,1994-05-27 13:56:26 UTC,WLANGOSH,1997-11-05 10:00:01 UTC,,,,,,,,,,A,,,,,805,,,008,J,,BVASHUELS1
JCRUICKSH,,,,,Johann,G,Cruickshank,JCRUICKSH,SBODE,01-483,BDCOUNSEL,,,,,,,,,,,,BFEENEY,1995-08-28 13:36:26 UTC,SBARTELL,1998-01-08 09:58:33 UTC,0,0,0,0,,,,,,A,,,,,370,,,483,A,,BVAJCRUICKSH
CPADBERG,,,,,Cecile,R,Padberg,CPADBERG,SBODE,01-014,BDCOUNSEL,,,,,,,,,7386,,,ABERGSTRO,1994-05-27 14:05:30 UTC,WLANGOSH,1998-05-14 09:21:22 UTC,,,,,,,,,,A,,,,,448,,,014,,,BVACPADBERG
BBOGAN,,,,,Bernita,L,Bogan,BBOGAN,SBODE,07-017,BDCOUNSEL,,,,,,,,,3056,,,ABERGSTRO,1994-05-27 14:13:21 UTC,WLANGOSH,1998-01-20 14:19:01 UTC,4,4,8,4,,,,,,I,,,,,805,,,017,J,,
EHOWELL,,,,,Elmore,P,Howell,EHOWELL,SBODE,04-018,BDCOUNSEL,,,,,,,,,8977,,,ABERGSTRO,1994-05-27 14:19:58 UTC,WLANGOSH,1998-02-11 09:58:10 UTC,,,,,,,,,,I,,,,,,,,018,J,,
JSTOLTENB,,,,,Jordy,D,Stoltenberg,JSTOLTENB,SBODE,16-028,BDCOUNSEL,,,,,,,,,4068,,,ABERGSTRO,1994-05-27 14:27:24 UTC,WLANGOSH,1997-09-18 10:17:41 UTC,,,,,,,,,,I,,,,,,,,028,,,
EDAUGHERT,,,,,Enrico,W,Daugherty,EDAUGHERT,SBODE,07-032,BDCOUNSEL,,,,,,,,,4542,,,ABERGSTRO,1994-05-27 14:33:45 UTC,WLANGOSH,1995-09-23 14:03:01 UTC,,,,,,,,,,I,,,,,,,,032,,,
SMANN,,,,,Shawn,C,Mann,SMANN,CRUSSEL,14-035,BDCOUNSEL,,,,,,,,,1117,,,ABERGSTRO,1994-05-27 14:45:55 UTC,WLANGOSH,1997-05-06 06:51:28 UTC,,,,,,,,,,I,,,,,,,,035,J,,
WJACOBS,,,,,Wanda,K,Jacobs,WJACOBS,SBODE,03-040,BDCOUNSEL,,,,,,,,,4387,,,ABERGSTRO,1994-05-27 14:53:40 UTC,WJACOBS,1997-08-07 08:24:39 UTC,0,0,0,0,,,,,,I,,,,,374,,,040,J,,
JAUFDERHA,,,,,Justina,G,Aufderhar,JAUFDERHA,MHALEY,14-044,BDCOUNSEL,,,,,,,,,7080,,,ABERGSTRO,1994-05-27 15:00:31 UTC,WLANGOSH,1995-11-30 14:40:12 UTC,,,,,,,,,,I,,,,,,,,044,J,,
HEMARD,,,,,Henriette,C,Emard,HEMARD,MHALEY,04-046,BDCOUNSEL,,,,,,,,,7972,,,ABERGSTRO,1994-05-27 15:03:53 UTC,WLANGOSH,1995-09-27 14:22:13 UTC,,,,,,,,,,I,,,,,,,,046,,,
QHARVEY,,,,,Queenie,F,Harvey,QHARVEY,MHALEY,08-053,BDCOUNSEL,,,,,,,,,2804,,,ABERGSTRO,1994-05-27 15:15:33 UTC,WLANGOSH,1995-09-23 16:58:13 UTC,,,,,,,,,,I,,,,,,,,053,,,
ESHIELDS,,,,,Eduardo,D,Shields,ESHIELDS,MHALEY,08-222,BDCOUNSEL,,,,,,,,,8654,,,ABERGSTRO,1994-05-31 12:17:33 UTC,BFEENEY,1996-12-31 08:38:10 UTC,4,4,0,0,,,,,,I,,,,,,,,222,J,,
GREICHEL,,,,,Genesis,Z,Reichel,GREICHEL,MIS,MIS,SYSADMIN,,,,,,,,,3053,,,ABERGSTRO,1994-05-31 13:05:17 UTC,WLANGOSH,1996-01-23 14:41:51 UTC,2,2,3,2,,,,,,I,,,,,,,,,,,
